source,pitch_std,mean_wpm
[앵커의 마침표]노조 ≠ 성역 ｜ 뉴스A [eA6yk_YRsIw].wav,73.616,115.6566991808179
[앵커의 마침표]내일이 기대되는 ‘월클’ 보유국 ｜ 뉴스A [p8hAo2TVCJI].wav,71.972,124.4309024090818
[앵커의 마침표]내부의 또 다른 어뢰 ｜ 뉴스A [yftb5IR-OGM].wav,63.055,142.2515044232221
"[앵커의 마침표]내년 경제, 꼭 반등하길 ｜ 뉴스A [b-lkVI5rR5E].wav",59.965,105.75054478366948
[앵커의 마침표]내 사전에 ‘내로남불’은 없다 ｜ 뉴스A [roSg37hv30g].wav,66.218,130.70915165350556
[앵커의 마침표]내 곁에 ‘설마’ ｜ 뉴스A [hA-cK_i72NU].wav,51.481,142.31102922644243
[앵커의 마침표]남의 나라 일인가 ⧸ 채널A ⧸ 뉴스A [QWs7JRNDtlE].wav,69.395,148.7677376652899
[앵커의 마침표]남은 건 요란한 싸움 뿐 ｜ 뉴스A [G_IkYotPe10].wav,68.765,135.92985325196108
"[앵커의 마침표]남은 3년, 시험대 올랐다 ｜ 뉴스A [1C0B2piFcWE].wav",63.202,133.67275970930973
"[앵커의 마침표]날카롭게, 그러나 품위 있게 ｜ 뉴스A [ff2-0OgOXuM].wav",60.737,105.16382879509943
[앵커의 마침표]단순한 색깔론이 아니다 ｜ 뉴스A [UtiboRf_zHw].wav,60.552,120.08676670355769
"[앵커의 마침표]다시, 희망 ｜ 뉴스A [3WIr7FqnEQI].wav",73.803,137.45371212611147
[앵커의 마침표]다시 떠오른 ‘동물국회’ 악몽 ｜ 뉴스A [_4BKPlCxyys].wav,60.314,106.86917535792747
[앵커의 마침표]늪에 빠진 초격차 ⧸ 채널A ⧸ 뉴스A [tH-PWy9pTxs].wav,59.266,119.04846198119644
[앵커의 마침표]느긋한 정치 절박한 민생 ｜ 뉴스A [9rA8EBESrVE].wav,58.566,154.6941169995228
[앵커의 마침표]대충 점검 ‘이상 있음’ ｜ 뉴스A [wICuCTMtXYg].wav,62.88,124.36616953040532
[앵커의 마침표]대수술 마지막 기회 ⧸ 채널A ⧸ 뉴스A [gB4Rl3KXP8A].wav,77.026,120.3804553028428
[앵커의 마침표]당명이 부끄럽다 ｜ 뉴스A [PL7ut47ERQo].wav,69.998,143.94884037690676
"[앵커의 마침표]당당하게, 원칙대로 ⧸ 채널A ⧸ 특집 뉴스A [X96UGuBRbu0].wav",58.822,106.47248700388369
[앵커의 마침표]답은 디테일에 있다 ⧸ 채널A ⧸ 뉴스A [tpL7ou81Qjs].wav,66.943,128.54093149507142
[앵커의 마침표]도 넘은 불법의 일상화 ｜ 뉴스A [lcx3i_NSYfc].wav,61.465,120.3693476413096
[앵커의 마침표]덕담 가득한 설 연휴 ｜ 뉴스A [tn4iFSoJArY].wav,58.493,121.86081468577432
[앵커의 마침표]더위는 평등하지 않다 ｜ 뉴스A [DwiXjgxtzhc].wav,54.361,105.74715319623162
[앵커의 마침표]더 이상 흔들릴 여유 없다 ⧸ 채널A ⧸ 뉴스A [KTZ2iBBKosM].wav,77.3,221.35654403192515
[앵커의 마침표]더 높은 도약을 위해 ｜ 뉴스A [adCalOnkj7w].wav,59.757,101.52273073077956
[앵커의 마침표]대혼란 부른 무원칙 ⧸ 채널A ⧸ 뉴스A [oXVH0v1GCZo].wav,76.024,131.3043417957377
[앵커의 마침표]대한민국 파이팅 ｜ 뉴스A [pZv06mmygi8].wav,75.209,127.82149768325596
[앵커의 마침표]두려워해야 할 것은 ｜ 뉴스A [OrknCsy_L38].wav,60.624,135.29274079678876
[앵커의 마침표]두 정상의 위험한 거래 ｜ 뉴스A [5z5SH6FGI3w].wav,62.773,153.7080080775027
[앵커의 마침표]두 번 다시 있어선 안 될 만행 ⧸ 채널A ⧸ 뉴스A [OxUiXXSA5zI].wav,59.482,121.89405178833788
[앵커의 마침표]동물 국회로 퇴행 ｜ 뉴스A [5V9FuvwqAPk].wav,58.477,156.51028744816
[앵커의 마침표]떳떳한 정치 ｜ 뉴스A [bYoaNcPPKmM].wav,54.596,132.57176719204227
[앵커의 마침표]마약과의 전면전 ｜ 뉴스A [BXuFV01L5Fg].wav,64.294,120.93543140445374
[앵커의 마침표]또 다른 붕괴를 막아라 ｜ 뉴스A [320ZfarXZNY].wav,62.27,116.63271097487174
[앵커의 마침표]무방비로 직면한 무역전쟁 ⧸ 채널A ⧸ 뉴스A [dT7qBDDTgfM].wav,69.446,120.30032780716768
[앵커의 마침표]모처럼 할 일한 국회 ｜ 뉴스A [JpPjwxJNMX8].wav,70.147,153.23435612374078
[앵커의 마침표]모두 함께 만든 반전 ｜ 뉴스A [rZnDR6roHG8].wav,52.324,121.71749275440968
[앵커의 마침표]모두가 단호하게 ‘No’라고 말할 때 ｜ 뉴스A [rMIyCabM5Ac].wav,57.953,119.02965482819822
[앵커의 마침표]면죄부로 끝난 5개월 고통 ｜ 뉴스A [wug31NDE2LM].wav,59.858,138.90316493582887
[앵커의 마침표]말로 안 되면 회초리 ｜ 뉴스A [u2XMIIwNTts].wav,71.335,138.3634585555279
[앵커의 마침표]몇 시간 일하십니까？ ｜ 뉴스A [cEUC1HFtyOQ].wav,68.044,137.51283643052204
[앵커의 마침표]무례한 친구 ｜ 뉴스A [Voce99UFIOc].wav,70.619,111.66577796805446
[앵커의 마침표]멈추면 사라진다 ⧸ 채널A ⧸ 뉴스A [WXN0pOW1Jls].wav,60.344,76.39801355721838
[앵커의 마침표]목표는 사고 제로 ⧸ 채널A ⧸ 뉴스A [PUbVUgboivs].wav,65.631,157.9047441543935
"[앵커의 마침표]목숨 걸린 기회, 잡아라 ｜ 뉴스A [enrq3Ks3oYQ].wav",63.541,114.91234813986514
[앵커의 마침표]마지막까지 철저히 ｜ 특집 뉴스A [Hi24SuBagEQ].wav,64.586,122.4774770723568
[앵커의 마침표]마침내 터진 관세 폭탄 ⧸ 채널A ⧸ 뉴스A [Sv3m-Ja_AGg].wav,57.685,111.0876341511005
[앵커의 마침표]만시지탄 안 된다 ⧸ 채널A ⧸ 뉴스A [djiQvL6OGHc].wav,69.015,125.72114698746356
[앵커의 마침표]마음은 코인 밭에 ｜ 뉴스A [El93TXCyhd8].wav,58.555,124.36883136216744
[앵커의 마침표]물리적 충돌 안 된다 ⧸ 채널A ⧸ 뉴스A [dqkXn0-IAec].wav,71.112,117.99644456273002
[앵커의 마침표]문화부터 바꿉시다 ｜ 뉴스A [y8rIp5bC0AY].wav,63.421,112.25043191012062
[앵커의 마침표]무한책임의 자세로 ｜ 뉴스A [InpMAxgFJUM].wav,69.585,162.99579655695683
[앵커의 마침표]무조건 싸우고 보는 ｜ 뉴스A [gDnlbAvbt-c].wav,61.11,129.29206115494756
[앵커의 마침표]무용지물 대응책 ｜ 뉴스A [IcOQHVu0ifY].wav,47.708,101.89334547469184
[앵커의 마침표]민심 되돌릴 시험대 ⧸ 채널A ⧸ 뉴스A [bHla4ck5fyM].wav,58.076,101.5454382974724
[앵커의 마침표]민생을 볼모 삼는 정치 ⧸ 채널A ⧸ 뉴스A [yDi87HXInSM].wav,63.574,106.29101503561776
